Entity,Code,Year,CO2 mitigation curves to meet a 1.5C target
Start in 2000,,2034,12648347000
Start in 2000,,2035,12147127000
Start in 2000,,2036,11661034000
Start in 2000,,2037,11190028000
Start in 2000,,2038,10734021000
Start in 2000,,2039,10292878000
Start in 2000,,2040,9866436000
Start in 2000,,2041,9454495000
Start in 2000,,2042,9056823000
Start in 2000,,2043,8673177000
Start in 2000,,2044,8303280000
Start in 2000,,2045,7946847700
Start in 2000,,2046,7603577300
Start in 2000,,2047,7273156000
Start in 2000,,2048,6955262000
Start in 2000,,2049,6649568000
Start in 2000,,2050,6355739000
Start in 2000,,2051,6073440000
Start in 2000,,2052,5802332700
Start in 2000,,2053,5542080000
Start in 2000,,2054,5292342300
Start in 2000,,2055,5052785000
Start in 2000,,2056,4823078400
Start in 2000,,2057,4602890000
Start in 2000,,2058,4391899000
Start in 2000,,2059,4189785000
Start in 2000,,2060,3996235000
Start in 2000,,2061,3810942000
Start in 2000,,2062,3633605000
Start in 2000,,2063,3463931100
Start in 2000,,2064,3301632000
Start in 2000,,2065,3146428200
Start in 2000,,2066,2998048000
Start in 2000,,2067,2856225000
Start in 2000,,2068,2720703000
Start in 2000,,2069,2591232000
Start in 2000,,2070,2467569200
Start in 2000,,2071,2349480000
Start in 2000,,2072,2236737000
Start in 2000,,2073,2129121000
Start in 2000,,2074,2026417900
Start in 2000,,2075,1928424100
Start in 2000,,2076,1834941000
Start in 2000,,2077,1745777000
Start in 2000,,2078,1660747000
Start in 2000,,2079,1579675000
Start in 2000,,2080,1502390000
Start in 2000,,2081,1428726000
Start in 2000,,2082,1358525000
Start in 2000,,2083,1291635100
Start in 2000,,2084,1227910000
Start in 2000,,2085,1167209100
Start in 2000,,2086,1109397000
Start in 2000,,2087,1054344060
Start in 2000,,2088,1001925950
Start in 2000,,2089,952024000
Start in 2000,,2090,904523000
Start in 2000,,2091,859313000
Start in 2000,,2092,816290050
Start in 2000,,2093,775353000
Start in 2000,,2094,736406000
Start in 2000,,2095,699355000
Start in 2000,,2096,664114000
Start in 2000,,2097,630596000
Start in 2000,,2098,598722000
Start in 2000,,2099,568415000
Start in 2000,,2100,539600000
Start in 2001,,2001,30025267000
Start in 2001,,2002,30111046000
Start in 2001,,2003,30080756000
Start in 2001,,2004,29947880000
Start in 2001,,2005,29724707000
Start in 2001,,2006,29422434000
Start in 2001,,2007,29051236000
Start in 2001,,2008,28620372000
Start in 2001,,2009,28138234000
Start in 2001,,2010,27612430000
Start in 2001,,2011,27049849000
Start in 2001,,2012,26456711000
Start in 2001,,2013,25838629000
Start in 2001,,2014,25200656000
Start in 2001,,2015,24547338000
Start in 2001,,2016,23882746000
Start in 2001,,2017,23210520000
Start in 2001,,2018,22533913000
Start in 2001,,2019,21855814000
Start in 2001,,2020,21178788000
Start in 2001,,2021,20505096000
Start in 2001,,2022,19836735000
Start in 2001,,2023,19175442000
Start in 2001,,2024,18522735000
Start in 2001,,2025,17879930000
Start in 2001,,2026,17248152000
Start in 2001,,2027,16628353000
Start in 2001,,2028,16021343000
Start in 2001,,2029,15427788000
Start in 2001,,2030,14848230000
Start in 2001,,2031,14283100000
Start in 2001,,2032,13732727000
Start in 2001,,2033,13197353000
Start in 2001,,2034,12677137000
Start in 2001,,2035,12172166000
Start in 2001,,2036,11682464000
Start in 2001,,2037,11207998000
Start in 2001,,2038,10748686000
Start in 2001,,2039,10304402000
Start in 2001,,2040,9874980000
Start in 2001,,2041,9460221000
Start in 2001,,2042,9059899000
Start in 2001,,2043,8673762000
