Entity,Code,Year,CO2 mitigation curves to meet a 2C target
Start in 2007,,2057,10945739000
Start in 2007,,2058,10510463000
Start in 2007,,2059,10089952000
Start in 2007,,2060,9683898000
Start in 2007,,2061,9291984000
Start in 2007,,2062,8913882000
Start in 2007,,2063,8549259300
Start in 2007,,2064,8197776000
Start in 2007,,2065,7859091000
Start in 2007,,2066,7532860000
Start in 2007,,2067,7218738000
Start in 2007,,2068,6916379000
Start in 2007,,2069,6625439000
Start in 2007,,2070,6345579000
Start in 2007,,2071,6076459000
Start in 2007,,2072,5817744000
Start in 2007,,2073,5569104400
Start in 2007,,2074,5330214000
Start in 2007,,2075,5100753000
Start in 2007,,2076,4880407000
Start in 2007,,2077,4668867000
Start in 2007,,2078,4465832400
Start in 2007,,2079,4271006200
Start in 2007,,2080,4084099800
Start in 2007,,2081,3904833000
Start in 2007,,2082,3732929000
Start in 2007,,2083,3568120800
Start in 2007,,2084,3410149000
Start in 2007,,2085,3258758100
Start in 2007,,2086,3113705000
Start in 2007,,2087,2974748000
Start in 2007,,2088,2841656000
Start in 2007,,2089,2714205000
Start in 2007,,2090,2592177000
Start in 2007,,2091,2475361000
Start in 2007,,2092,2363552000
Start in 2007,,2093,2256554000
Start in 2007,,2094,2154174200
Start in 2007,,2095,2056230000
Start in 2007,,2096,1962543000
Start in 2007,,2097,1872941000
Start in 2007,,2098,1787258000
Start in 2007,,2099,1705333000
Start in 2007,,2100,1627014000
Start in 2008,,2008,36752056000
Start in 2008,,2009,37466665000
Start in 2008,,2010,37987377000
Start in 2008,,2011,38333590000
Start in 2008,,2012,38523150000
Start in 2008,,2013,38572438000
Start in 2008,,2014,38496510000
Start in 2008,,2015,38309170000
Start in 2008,,2016,38023074000
Start in 2008,,2017,37649826000
Start in 2008,,2018,37200020000
Start in 2008,,2019,36683360000
Start in 2008,,2020,36108694000
Start in 2008,,2021,35484094000
Start in 2008,,2022,34816913000
Start in 2008,,2023,34113841000
Start in 2008,,2024,33380958000
Start in 2008,,2025,32623768000
Start in 2008,,2026,31847258000
Start in 2008,,2027,31055940000
Start in 2008,,2028,30253871000
Start in 2008,,2029,29444714000
Start in 2008,,2030,28631753000
Start in 2008,,2031,27817923000
Start in 2008,,2032,27005850000
Start in 2008,,2033,26197864000
Start in 2008,,2034,25396038000
Start in 2008,,2035,24602196000
Start in 2008,,2036,23817935000
Start in 2008,,2037,23044657000
Start in 2008,,2038,22283573000
Start in 2008,,2039,21535730000
Start in 2008,,2040,20802013000
Start in 2008,,2041,20083175000
Start in 2008,,2042,19379835000
Start in 2008,,2043,18692500000
Start in 2008,,2044,18021570000
Start in 2008,,2045,17367353000
Start in 2008,,2046,16730070000
Start in 2008,,2047,16109867000
Start in 2008,,2048,15506821000
Start in 2008,,2049,14920946000
Start in 2008,,2050,14352199000
Start in 2008,,2051,13800494000
Start in 2008,,2052,13265699000
Start in 2008,,2053,12747639000
Start in 2008,,2054,12246114000
Start in 2008,,2055,11760891000
Start in 2008,,2056,11291709000
Start in 2008,,2057,10838288000
